stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
574,6575,MEADOWVALE RD AT SHEPPARD AVE EAST,,43.8086,-79.171015,,,,
575,11114,MEMORIAL PARK AVE AT COXWELL AVE,,43.692235,-79.32747,,,,
576,11415,MILITARY TRAIL AT MORNINGSIDE AVE,,43.789018,-79.193261,,,,
577,5753,MILLWOOD RD AT OVERLEA BLVD NORTH SIDE,,43.702117,-79.353245,,,,
578,4484,MILLWOOD RD AT OVERLEA BLVD,,43.7019,-79.352504,,,,
579,10947,MORNINGSIDE AVE AT CASEBRIDGE CRT NORTH SIDE,,43.80925,-79.202744,,,,
580,11249,MORNINGSIDE AVE AT JOHN STONER DR SOUTH SIDE,,43.813038,-79.205981,,,,
581,13906,NIGHTSTAR RD AT MORNINGSIDE AVE NORTH SIDE,,43.823399,-79.230506,,,,
582,14104,MORNINGSIDE AVE AT WALKWAY SOUTH OF OASIS,,43.826565,-79.232884,,,,
583,5755,MORNING STAR DR AT CATALPA RD,,43.719772,-79.643176,,,,
584,5756,MORNING STAR DR AT CATALPA RD,,43.720077,-79.643053,,,,
585,5758,MORNING STAR DR AT AIRPORT RD EAST SIDE,,43.709985,-79.649766,,,,
586,5759,MORNING STAR DR AT LANCASTER AVE,,43.712743,-79.647435,,,,
587,5760,MORNING STAR DR AT MANION RD,,43.712589,-79.64767,,,,
588,5763,MORNING STAR DR AT REINDEER DR WEST SIDE,,43.713981,-79.646969,,,,
589,5764,MORNING STAR DR AT REINDEER DR,,43.714618,-79.646554,,,,
590,5773,MORTIMER AVE AT COXWELL AVE WEST SIDE (EAST GEN HOSPITAL),,43.690556,-79.327054,,,,
591,5813,MT PLEASANT RD AT EGLINTON AVE EAST NORTH SIDE,,43.708909,-79.390199,,,,
592,11453,MT PLEASANT RD AT ELM AVE,,43.674617,-79.380266,,,,
593,11705,MT PLEASANT RD AT INGLEWOOD DR,,43.688233,-79.38348,,,,
594,10883,MT PLEASANT RD AT ST CLAIR AVE EAST SOUTH SIDE,,43.689984,-79.383243,,,,
595,1380,NEILSON RD AT FINCH AVE EAST SOUTH SIDE,,43.815464,-79.22727,,,,
596,11667,NEILSON RD AT FINCH AVE EAST SOUTH SIDE,,43.815718,-79.227396,,,,
597,5904,OAKWOOD AVE AT EGLINTON AVE SOUTH SIDE,,43.696942,-79.4427,,,,
598,5911,OAKWOOD AVE AT ROGERS RD,,43.687048,-79.438572,,,,
599,1419,OCONNOR DR AT PAPE AVE,,43.693133,-79.350428,,,,
600,4509,OLD WESTON RD AT ST CLAIR AVE WEST NORTH SIDE,,43.673944,-79.46306,,,,
601,11583,OLD WESTON RD AT ST CLAIR AVE WEST,,43.673245,-79.462866,,,,
602,4508,OLD WESTON RD AT ST CLAIR AVE WEST,,43.673627,-79.463123,,,,
604,10226,848 OSSINGTON AVE,,43.664769,-79.426875,,,,
605,10225,851 OSSINGTON AVE,,43.664789,-79.42674,,,,
606,8008,OSSINGTON AVE AT BLOOR ST WEST,,43.661814,-79.425455,,,,
607,9857,OSSINGTON AVE AT BLOOR ST WEST,,43.66208,-79.425762,,,,
